"TOA5","73410","CR1000X","73410","CR1000X.8.4.0","CPU:Romeral_10032026.CR1X","36289","FTPMonitor"
"TIMESTAMP","RECORD","Batt_volt_Min","FTPResultRomeral","FTPResultRomeral_Raw","FTPResultRain"
"TS","RN","Volts","","",""
"","","Min","Smp","Smp","Smp"
"2026-05-20 00:10:00",279,12.77,-1,-1,-1
"2026-05-20 06:10:00",280,12.63,-1,-1,-2
"2026-05-20 12:10:00",281,13.99,-1,-1,-2
"2026-05-20 18:10:00",282,13.24,-1,-1,-2
"2026-05-21 00:10:00",283,12.77,-1,-1,-1
"2026-05-21 06:10:00",284,12.64,-1,-1,-2
"2026-05-21 12:10:00",285,13.97,-1,-1,-2
"2026-05-21 18:10:00",286,13.37,-1,-1,-2
"2026-05-22 00:10:00",287,12.77,-1,-1,-1
"2026-05-22 06:10:00",288,12.62,-1,-1,-2
"2026-05-22 12:10:00",289,13.58,-1,-1,-2
"2026-05-22 18:10:00",290,13.38,-1,-1,-2
"2026-05-23 00:10:00",291,12.77,-1,-1,-1
"2026-05-23 06:10:00",292,12.66,-1,-1,-2
"2026-05-23 12:10:00",293,13.99,-1,-1,-2
"2026-05-23 18:10:00",294,13.35,-1,-1,-2
"2026-05-24 00:10:00",295,12.75,-1,-1,-1
"2026-05-24 06:10:00",296,12.59,-1,-1,-2
"2026-05-24 12:10:00",297,13.88,-1,-1,-2
"2026-05-24 18:10:00",298,13.3,-1,-1,-2
"2026-05-25 00:10:00",299,12.76,-1,-1,-1
"2026-05-25 06:10:00",300,12.57,0,0,-2
"2026-05-25 12:10:00",301,13.59,-1,0,-2
"2026-05-25 18:10:00",302,13.3,-1,-1,-2
"2026-05-26 00:10:00",303,12.85,-1,-1,-1
"2026-05-26 06:10:00",304,12.67,-1,-1,-2
"2026-05-26 12:10:00",305,13.58,-1,-1,-2
"2026-05-26 18:10:00",306,13.33,-1,-1,-2
"2026-05-27 00:10:00",307,12.84,-1,-1,-1
"2026-05-27 06:10:00",308,12.7,-1,-1,-2
"2026-05-27 12:10:00",309,13.57,-1,-1,-2
